Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2025-04-08;434768;2884137,50;0;0,00;0;121704,90;2;28444,40;4;1363,00;23;139,40;62;63,20;52;56,50;1023;14,00;1340;12,80;2898;11,10;6372;6,30;21297;5,70;47034;4,30
2025-04-04;612130;4464620,00;0;30117535,00;0;684735,20;0;32006,70;2;1780,20;41;153,80;109;55,40;137;49,20;1822;12,40;2171;12,90;4647;11,70;10859;5,10;32959;6,00;68669;4,90
2025-04-01;464825;3220755,00;0;0,00;0;266728,50;0;13853,00;1;4314,80;28;182,00;58;82,10;75;53,20;1154;18,80;1414;14,00;3425;10,60;6050;8,60;22277;6,50;54631;4,10
2025-03-28;1432366;13855580,00;0;250000000,00;0;338645,80;2;18585,60;11;1197,70;157;125,40;381;58,80;401;39,80;5557;14,70;7534;11,90;17450;9,30;30266;7,00;110514;5,70;256878;3,80
2025-03-25;940814;8565145,00;0;0,00;0;616553,40;0;36024,60;4;1300,90;115;123,90;237;56,80;232;44,20;3822;13,10;4836;11,50;10701;9,60;20112;6,20;70019;5,50;154283;4,00
2025-03-21;1017833;9182597,50;0;0,00;0;330212,80;0;18159,10;3;1335,40;105;125,80;205;62,70;232;39,50;3378;15,60;5467;10,60;12999;8,40;16500;7,70;77736;5,30;187182;3,60
2025-03-18;768694;6633700,00;0;0,00;0;332090,30;1;38807,40;3;2197,70;68;157,50;136;75,10;135;55,30;2261;17,30;2910;14,00;6954;11,20;12220;7,70;47565;6,30;111785;4,30
2025-03-14;960374;8437392,50;0;0,00;0;387524,60;3;33964,00;5;1538,70;102;138,40;229;62,30;238;45,50;3905;13,80;4362;12,20;9312;10,40;21225;6,20;67705;5,60;143097;4,20
2025-03-11;731211;6185850,00;0;0,00;1;302199,80;1;21188,70;4;1783,70;56;151,90;137;62,50;118;53,70;2507;14,60;3053;12,80;6778;11,30;13348;6,70;46911;6,00;103195;4,50
2025-03-07;1112100;10062380,00;0;0,00;1;429799,40;0;25112,80;8;1054,60;120;114,70;302;48,30;258;41,60;4696;11,90;5612;11,00;12042;9,70;24643;5,60;82640;5,30;179026;4,10
2025-03-04;413683;2741750,00;0;0,00;1;68564,80;0;22434,60;0;1247,80;41;121,40;80;55,70;70;41,90;1245;13,20;1397;11,60;3142;10,10;6895;6,20;22510;5,50;46521;4,20
2025-02-28;603439;4514222,50;1;52448674,00;0;353112,60;1;20632,00;2;1468,80;53;134,90;148;50,60;120;47,30;2136;12,10;2522;11,60;5326;10,50;11855;5,40;35470;5,60;75336;4,30
2025-02-25;417103;2818565,00;0;0,00;0;167896,00;0;19620,00;1;1666,60;26;124,10;70;61,00;88;36,50;1002;14,10;1896;10,00;4780;7,50;5123;7,10;24634;5,30;61936;3,40
2025-02-21;553550;4012730,00;0;0,00;0;213502,40;0;14969,70;2;1457,00;53;115,20;128;57,30;127;36,40;1596;14,50;2396;10,60;5495;8,50;8190;7,00;33311;5,40;75944;3,70
2025-02-18;393322;2600702,50;0;0,00;0;469895,30;0;27455,50;2;900,10;39;105,70;95;32,70;77;39,90;1532;8,30;1561;9,40;3002;9,50;7361;4,40;23453;4,70;44826;4,10
2025-02-14;632523;4765637,50;0;78450739,00;0;442087,50;0;41329,20;3;1430,30;39;153,90;86;72,20;87;48,80;1741;15,50;2209;13,30;5103;10,70;9779;6,90;34959;6,00;81418;4,20
2025-02-11;455088;3143852,50;0;0,00;0;113658,30;0;33204,70;1;1378,90;36;146,80;83;76,20;69;52,00;1050;17,10;1300;14,50;3115;11,40;6071;7,50;21301;6,50;49427;4,40
2025-02-07;605633;4474240,00;0;0,00;0;0,00;1;146483,20;3;1080,40;54;141,90;101;61,80;107;45,20;1630;15,40;2370;11,20;5628;9,00;7902;7,60;35645;5,50;85574;3,70
2025-02-04;431285;2906567,50;0;0,00;0;0,00;0;643777,50;2;1582,70;30;151,10;59;73,70;75;53,80;1036;15,60;1454;13,50;3373;10,80;5659;7,10;22010;6,00;52464;4,10
2025-01-31;578310;4207897,50;0;0,00;0;662510,10;1;51613,10;5;1722,40;26;167,90;92;62,00;76;56,60;1760;12,70;1907;13,70;4117;11,90;11051;5,30;31118;6,00;63890;4,70
2025-01-28;418454;2795930,00;0;0,00;0;474163,90;0;110819,90;0;1725,80;28;190,30;76;69,70;48;60,30;1123;15,90;1261;14,70;2731;12,10;6202;6,90;20175;6,60;44950;4,70
2025-01-24;794365;6323685,00;0;99397573,00;2;92865,40;1;13952,60;5;950,60;100;93,90;202;46,20;188;34,90;3028;11,00;3815;10,00;8420;8,80;15957;5,40;54215;5,10;116764;3,90
2025-01-21;496443;3563072,50;0;0,00;0;121051,80;0;23576,50;2;1258,80;52;96,90;80;56,60;94;34,40;1307;13,90;2234;9,50;4538;8,70;7178;6,80;31609;4,90;65293;3,90
2025-01-17;774363;6038275,00;0;0,00;3;85022,70;1;13756,90;5;870,30;73;97,50;164;46,90;168;37,50;2563;12,00;3887;9,80;7924;9,30;12739;6,10;50835;5,20;107788;4,00
2025-01-14;466412;3259377,50;0;0,00;1;95604,50;0;26813,20;3;2197,80;28;156,60;97;53,70;75;52,10;1491;12,30;1705;12,50;3497;11,30;8424;5,40;25828;5,70;53242;4,40
2025-01-10;598751;4442822,50;0;0,00;0;179667,00;0;55988,10;1;1687,60;55;120,30;146;59,20;109;45,90;1850;14,40;2702;10,70;5218;10,60;9503;6,80;39939;5,20;78963;4,30
2025-01-07;438779;2990332,50;0;0,00;0;521898,30;0;24395,20;0;2713,70;26;169,80;69;80,00;69;50,60;963;19,70;1309;14,70;3207;11,10;5387;9,00;20001;7,00;46670;4,50
2025-01-03;536113;3900667,50;0;0,00;0;316853,40;0;24684,60;1;1590,70;32;139,70;158;56,40;117;44,50;1915;13,70;2228;11,80;4983;9,50;9332;6,60;32950;5,60;72719;3,90
